         z         Ez 
 0.000e+00  1.000e+00 
 2.000e-04  1.000e+00 
 4.000e-04  9.998e-01 
 6.000e-04  9.996e-01 
 8.000e-04  9.994e-01 
 1.000e-03  9.993e-01 
 1.200e-03  9.991e-01 
 1.400e-03  9.989e-01 
 1.600e-03  9.988e-01 
 1.800e-03  9.982e-01 
 2.000e-03  9.977e-01 
 2.200e-03  9.972e-01 
 2.400e-03  9.967e-01 
 2.600e-03  9.961e-01 
 2.800e-03  9.956e-01 
 3.000e-03  9.951e-01 
 3.200e-03  9.945e-01 
 3.400e-03  9.936e-01 
 3.600e-03  9.928e-01 
 3.800e-03  9.919e-01 
 4.000e-03  9.910e-01 
 4.200e-03  9.901e-01 
 4.400e-03  9.893e-01 
 4.600e-03  9.884e-01 
 4.800e-03  9.873e-01 
 5.000e-03  9.861e-01 
 5.200e-03  9.849e-01 
 5.400e-03  9.837e-01 
 5.600e-03  9.825e-01 
 5.800e-03  9.812e-01 
 6.000e-03  9.800e-01 
 6.200e-03  9.786e-01 
 6.400e-03  9.770e-01 
 6.600e-03  9.754e-01 
 6.800e-03  9.739e-01 
 7.000e-03  9.723e-01 
 7.200e-03  9.708e-01 
 7.400e-03  9.692e-01 
 7.600e-03  9.673e-01 
 7.800e-03  9.654e-01 
 8.000e-03  9.635e-01 
 8.200e-03  9.616e-01 
 8.400e-03  9.596e-01 
 8.600e-03  9.577e-01 
 8.800e-03  9.555e-01 
 9.000e-03  9.533e-01 
 9.200e-03  9.510e-01 
 9.400e-03  9.488e-01 
 9.600e-03  9.466e-01 
 9.800e-03  9.442e-01 
 1.000e-02  9.416e-01 
 1.020e-02  9.390e-01 
 1.040e-02  9.364e-01 
 1.060e-02  9.338e-01 
 1.080e-02  9.312e-01 
 1.100e-02  9.284e-01 
 1.120e-02  9.254e-01 
 1.140e-02  9.224e-01 
 1.160e-02  9.194e-01 
 1.180e-02  9.163e-01 
 1.200e-02  9.133e-01 
 1.220e-02  9.103e-01 
 1.240e-02  9.068e-01 
 1.260e-02  9.033e-01 
 1.280e-02  8.998e-01 
 1.300e-02  8.963e-01 
 1.320e-02  8.928e-01 
 1.340e-02  8.893e-01 
 1.360e-02  8.855e-01 
 1.380e-02  8.815e-01 
 1.400e-02  8.775e-01 
 1.420e-02  8.735e-01 
 1.440e-02  8.695e-01 
 1.460e-02  8.654e-01 
 1.480e-02  8.611e-01 
 1.500e-02  8.566e-01 
 1.520e-02  8.521e-01 
 1.540e-02  8.476e-01 
 1.560e-02  8.431e-01 
 1.580e-02  8.386e-01 
 1.600e-02  8.336e-01 
 1.620e-02  8.286e-01 
 1.640e-02  8.235e-01 
 1.660e-02  8.185e-01 
 1.680e-02  8.134e-01 
 1.700e-02  8.082e-01 
 1.720e-02  8.026e-01 
 1.740e-02  7.970e-01 
 1.760e-02  7.914e-01 
 1.780e-02  7.859e-01 
 1.800e-02  7.803e-01 
 1.820e-02  7.745e-01 
 1.840e-02  7.681e-01 
